BL_ID,Newspaper_Title,Location,Collection,Articles
0003087,Irvine Express and North Ayrshire Post,"Irvine, Strathclyde, Scotland",LwM,10268
0003086,Irvine Express,"Irvine, Strathclyde, Scotland",LwM,10178
0003401,Darlington & Richmond Herald,"Darlington, Durham, England",LwM,9889
0002616,The Tamworth Examiner and Working Men's Journal,"Tamworth, Staffordshire, England",LwM,9349
0002619,Denton Examiner Audenshaw Hooley Hill and Dukinfield Advertiser,"Denton, Greater Manchester, England",LwM,9293
0003406,Nantwich Sandbach & Crewe Star,,LwM,8913
0003062,Brighouse Gazette and Local Railway Guide,"Brighouse, West Yorkshire, England",LwM,8757
0003398,The Manchester Examiner,"Manchester, Greater Manchester, England",LwM,8477
0002973,The Observer Cradley Heath Halesowen & District Chronicle,"Stourbridge, West Midlands, England",LwM,7741
0003046,The Lancaster Herald and Town and County Advertiser,"Lancaster, Lancashire, England",LwM,7703
0003539,The Miner and Workman's Advocate,London,HMD,7159
0002613,The Staffordshire and Potteries Examiner,"Stoke-on-Trent, Staffordshire, England",LwM,6213
0002603,The Wolverhampton and Midland Counties Advertiser,"Wolverhampton, West Midlands, England",LwM,5558
0003541,The Commonwealth,London,HMD,4578
0003400,The Darlington & Stockton Telegraph,"Darlington, Durham, England",LwM,4710
0002618,Denton & Haughton Weekly News,"Denton, Greater Manchester, England",LwM,4623
0003070,Middlesbro' & Stockton Gazette and General Advertiser,"Stockton-on-Tees, Cleveland, England",LwM,4668
0003098,Swansea Journal and South Wales Liberal,"Swansea, West Glamorgan, Wales",LwM,4607
0002250,The Industrial Review Social and Political,London,HMD,4278
0003069,Stockton Gazette and Middlesbrough Times,"Stockton-on-Tees, Cleveland, England",LwM,4366
0002602,The Wolverhampton Times,"Wolverhampton, West Midlands, England",LwM,4175
0003044,The Atherstone Times,"Atherstone, Warwickshire, England",LwM,4103
0002607,The Stockton Examiner,"Stockton-on-Tees, Cleveland, England",LwM,3911
0002604,The Midland Examiner and Wolverhampton Times,"Wolverhampton, West Midlands, England",LwM,3786
0002605,The Midland Examiner and Times,"Wolverhampton, West Midlands, England",LwM,3405
0002614,Stretford and Urmston Examiner,"Stretford, Greater Manchester, England",LwM,2875
0003078,The Nuneaton Times,"Nuneaton, Warwickshire, England",LwM,2661
0003063,Halifax Local Opinion,"Halifax, West Yorkshire, England",LwM,2026
0002599,The South Staffordshire Examiner,"Wednesbury, West Midlands, England",LwM,2015
0003537,British Miner and General Newsman,London,LwM,1924
0003540,The Workman's Advocate,London,HMD,1241
0003538,The Miner,London,HMD,1057
0002244,Colored News,London,HMD,1025
0002248,The Penny Bee-Hive,London,HMD,943
0002611,Stalybridge Examiner,"Stalybridge, Greater Manchester, England",LwM,719
0003041,Barnsley Telephone,"Barnsley, South Yorkshire, England",LwM,636
0002972,Cradley Heath & Stourbridge Observer,"Stourbridge, West Midlands, England",LwM,559
0002617,The Denton Haughton & District Weekly News,"Denton, Greater Manchester, England",LwM,511
0003071,The Middlesbrough Gazette and General Advertiser,"Stockton-on-Tees, Cleveland, England",LwM,543
0003079,Penistone Stocksbridge Hoyland and Ecclesfield & Chapeltown Express,"Penistone, South Yorkshire, England",LwM,488
0003548,New Tredegar Bargoed & Caerphilly Journal,"Bedwellty, Gwent, Wales",LwM,484
0002615,The Tamworth Miners' Examiner and Working Men's Journal,"Tamworth, Staffordshire, England",LwM,626
